timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-11-09T00:00:00.000Z";"2022-11-09T23:59:59.999Z";"2022-11-09T00:34:00.000Z";"2022-11-09T23:38:00.000Z";"2781";1333.1224783433;1335.7434699146;1083.2856661926;1100.169759577;38864492427.35;134632026975.35;"2022-11-09T23:59:59.999Z"
"2022-11-08T00:00:00.000Z";"2022-11-08T23:59:59.999Z";"2022-11-08T01:23:00.000Z";"2022-11-08T19:35:00.000Z";"2781";1568.3296330548;1574.7998379558;1259.4431002116;1332.8355929451;42048003440.2;163104244541.39;"2022-11-08T23:59:59.999Z"
"2022-11-07T00:00:00.000Z";"2022-11-07T23:59:59.999Z";"2022-11-07T20:17:00.000Z";"2022-11-07T08:02:00.000Z";"2781";1572.0169810172;1604.4753249012;1550.4155871017;1568.5912808483;15279963349.45;191954575288.26;"2022-11-07T23:59:59.999Z"
"2022-11-06T00:00:00.000Z";"2022-11-06T23:59:59.999Z";"2022-11-06T08:50:00.000Z";"2022-11-06T23:59:00.000Z";"2781";1627.9010667327;1634.1325005875;1572.2347570875;1572.2347570875;11632744704.51;192400441552.22;"2022-11-06T23:59:59.999Z"
"2022-11-05T00:00:00.000Z";"2022-11-05T23:59:59.999Z";"2022-11-05T00:50:00.000Z";"2022-11-05T23:13:00.000Z";"2781";1645.1565554246;1660.4864321643;1625.964182735;1627.9680581756;11006973189.96;199220740931.91;"2022-11-05T23:59:59.999Z"
"2022-11-04T00:00:00.000Z";"2022-11-04T23:59:59.999Z";"2022-11-04T14:44:00.000Z";"2022-11-04T00:12:00.000Z";"2781";1531.3975347637;1661.3346634557;1529.2683894051;1645.093397922;20806964347.48;201316434920.42;"2022-11-04T23:59:59.999Z"
"2022-11-03T00:00:00.000Z";"2022-11-03T23:59:59.999Z";"2022-11-03T04:16:00.000Z";"2022-11-03T00:14:00.000Z";"2781";1519.7248005253;1556.7596521394;1517.1016722589;1531.5416959633;14248351006.96;187420674444.85;"2022-11-03T23:59:59.999Z"
"2022-11-02T00:00:00.000Z";"2022-11-02T23:59:59.999Z";"2022-11-02T18:32:00.000Z";"2022-11-02T21:28:00.000Z";"2781";1579.4978960053;1613.4106738627;1507.2447410868;1519.711823268;23254218280.59;185973007218.42;"2022-11-02T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-01T23:59:59.999Z";"2022-11-01T10:49:00.000Z";"2022-11-01T14:14:00.000Z";"2781";1572.6453605386;1606.6057709697;1568.0985087477;1579.7045469065;14507311208.29;193314548591.89;"2022-11-01T23:59:59.999Z"
"2022-10-31T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-31T11:20:00.000Z";"2022-10-31T15:08:00.000Z";"2781";1590.4812705393;1630.4529243103;1555.9189831291;1572.7144656013;19306919713.92;192459145336.4;"2022-10-31T23:59:59.999Z"
